Tªn Trang BÞ	ItemGenre	DetailType	ParticularType	SPR		Ngang	Däc				Level																																			Dßng HiÖn	Dßng Èn	Dßng HiÖn	Dßng Èn	Dßng HiÖn	Dßng Èn	Opt	Opt		Skill	Dßng Cuèi		
Minh Ph­îng Thiªn Hoang Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle29.spr	34	1	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp Minh Ph­îng(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	2									1688	2288	1728	1768	2088	2168	536	563	4		2788	2	9
Minh Ph­îng Thiªn Hoang Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash29.spr	32	2	1	Bé trang bÞ §­êng M«n ná tiÔn cÊp Minh Ph­îng(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	2									1688	2368	1728	1808	2088	2168	536	563	5	1332	2208	2	9
Minh Ph­îng Thiªn Hoang Gi¸p Y	0	2	3	\spr\item\equip\armor\obj-ma-cloth31.spr	22	2	3	Bé trang bÞ §­êng M«n ná tiÔn cÊp Minh Ph­îng(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	2									1688	2408	1728	1848	2604	2795	536	563	6	1370	2788	2	9
Minh Ph­îng Thiªn Hoang Tô TiÔn	0	1	2	\spr\item\equip\rangeweapon\obj-adart31.spr	17	2	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp Minh Ph­îng(7)	0	99999	10	0	28	46	46	29	102	102	167	-30	-30	31	99	99										36	120	39	2									2708	2248	1968	1768	2088	2795	536	563	7		1670	2	9
Minh Ph­îng Thiªn Hoang Lý	0	5	1	\spr\item\equip\boots\obj-shoes31.spr	26	2	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp Minh Ph­îng(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	2									1688	2328	1728	1888	1928	2168	536	563	8	1366	2208	2	9
Minh Ph­îng Thiªn Hoang Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist29.spr	36	1	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp Minh Ph­îng(9)	1	99999	10	0																						36	120	39	2									1688	2288	1728	1768	2088	2168	536	563	9	1360	2208	2	9
Minh Ph­îng Thiªn Hoang H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring28.spr	37	1	1	Bé trang bÞ §­êng M«n ná tiÔn cÊp Minh Ph­îng(10)	3	99999	10	0																						36	120	39	2									1688	2368	1728	1808	2088	2168	536	563	10		1670	2	9
Minh Ph­îng Thiªn Kiªu H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck28.spr	36	2	1	Bé trang bÞ §­êng M«n phi tiªu cÊp Minh Ph­îng(1)	4	99999	10	0																						36	120	39	2									1688	2408	1728	1848	2128	2168	537	564	1	1338	2208	2	9
Minh Ph­îng Thiªn Kiªu Ph¸t Qu¸n	0	7	2	\spr\item\equip\cap\obj-ma-cap31.spr	28	2	2	Bé trang bÞ §­êng M«n phi tiªu cÊp Minh Ph­îng(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	2									1688	2248	1728	1768	2088	2795	537	564	2		2208	2	9
Minh Ph­îng Thiªn Kiªu Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring28.spr	37	1	1	Bé trang bÞ §­êng M«n phi tiªu cÊp Minh Ph­îng(3)	2	99999	10	0																						36	120	39	2									1688	2328	1728	1888	2088	2168	537	564	3		1670	2	9
Minh Ph­îng Thiªn Kiªu Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle29.spr	34	1	2	Bé trang bÞ §­êng M«n phi tiªu cÊp Minh Ph­îng(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	2									1688	2288	1728	1768	2088	2168	537	564	4	1382	2788	2	9
Minh Ph­îng Thiªn Kiªu Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash29.spr	32	2	1	Bé trang bÞ §­êng M«n phi tiªu cÊp Minh Ph­îng(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	2									1688	2368	1728	1808	2088	2168	537	564	5	1332	2208	2	9
Minh Ph­îng Thiªn Kiªu Gi¸p Y	0	2	3	\spr\item\equip\armor\obj-ma-cloth31.spr	22	2	3	Bé trang bÞ §­êng M«n phi tiªu cÊp Minh Ph­îng(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	2									1688	2408	1728	1848	2604	2795	537	564	6	1386	2788	2	9
Minh Ph­îng Thiªn Kiªu Phi Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart32.spr	15	1	1	Bé trang bÞ §­êng M«n phi tiªu cÊp Minh Ph­îng(7)	0	99999	10	0	28	42	42	29	98	98	167	-30	-30	31	99	99										36	120	39	2									2708	2248	1968	1768	2088	2795	537	564	7		1670	2	9
Minh Ph­îng Thiªn Kiªu Lý	0	5	1	\spr\item\equip\boots\obj-shoes31.spr	26	2	2	Bé trang bÞ §­êng M«n phi tiªu cÊp Minh Ph­îng(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	2									1688	2328	1728	1888	1928	2168	537	564	8		2208	2	9
Minh Ph­îng Thiªn Kiªu Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist29.spr	34	1	2	Bé trang bÞ §­êng M«n phi tiªu cÊp Minh Ph­îng(9)	1	99999	10	0																						36	120	39	2									1688	2288	1728	1768	2088	2168	537	564	9	1376	2208	2	9
Minh Ph­îng Thiªn Kiªu H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring28.spr	37	1	1	Bé trang bÞ §­êng M«n phi tiªu cÊp Minh Ph­îng(10)	3	99999	10	0																						36	120	39	2									1688	2368	1728	1808	2088	2168	537	564	10		1670	2	9
Minh Ph­îng ThiÕt HuyÕt H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck30.spr	36	2	1	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Minh Ph­îng(1)	1	99999	10	0																						36	120	39	6									1688	2408	1728	1848	2128	2168	538	565	1	1398	2208	2	9
Minh Ph­îng ThiÕt HuyÕt §Çu Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap33.spr	28	2	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Minh Ph­îng(2)	3	99999	10	0	30	360	360	31	85	85																36	120	39	6									1688	2248	1728	1768	2088	2835	538	565	2		2208	2	9
Minh Ph­îng ThiÕt HuyÕt Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring30.spr	37	1	1	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Minh Ph­îng(3)	4	99999	10	0																						36	120	39	6									1688	2328	1728	1888	2088	2168	538	565	3		1670	2	9
Minh Ph­îng ThiÕt HuyÕt Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle31.spr	34	1	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Minh Ph­îng(4)	0	99999	10	0	30	135	135	31	80	80																36	120	39	6									1688	2288	1728	1768	2088	2168	538	565	4	1410	2788	2	9
Minh Ph­îng ThiÕt HuyÕt Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash31.spr	32	2	1	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Minh Ph­îng(5)	2	99999	10	0	30	160	160	31	80	80																36	120	39	6									1688	2368	1728	1808	2088	2168	538	565	5	1392	2208	2	9
Minh Ph­îng ThiÕt HuyÕt C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth33.spr	22	2	3	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Minh Ph­îng(6)	1	99999	10	0	30	720	720	31	90	90																36	120	39	6									1688	2408	1728	1848	2604	2835	538	565	6	1414	2788	2	9
Minh Ph­îng ThiÕt HuyÕt TriÒn Thñ	0	0	6	\spr\item\equip\closeweapon\obj-glove08.spr	9	1	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Minh Ph­îng(7)	3	99999	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										36	120	39	6									2726	2248	2488	1768	2088	2835	538	565	7		1670	2	9
Minh Ph­îng ThiÕt HuyÕt Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes35.spr	26	2	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Minh Ph­îng(8)	4	99999	10	0	30	160	160	31	80	80																36	120	39	6									1688	2328	1728	1888	1928	2168	538	565	8		2208	2	9
Minh Ph­îng ThiÕt HuyÕt Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist31.spr	36	1	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Minh Ph­îng(9)	0	99999	10	0																						36	120	39	6									1688	2288	1728	1768	2088	2168	538	565	9	1404	2208	2	9
Minh Ph­îng ThiÕt HuyÕt H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring30.spr	37	1	1	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Minh Ph­îng(10)	2	99999	10	0																						36	120	39	6									1688	2368	1728	1808	2088	2168	538	565	10		1670	2	9
Minh Ph­îng Quang Phôc H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck30.spr	36	2	1	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Minh Ph­îng(1)	0	99999	10	0																						36	120	39	6									1688	2408	1728	1848	2128	2168	539	566	1	1426	2208	2	9
Minh Ph­îng Quang Phôc §Çu Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap33.spr	28	2	2	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Minh Ph­îng(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	6									1688	2248	1728	1768	2088	2660	539	566	2		2208	2	9
Minh Ph­îng Quang Phôc Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring30.spr	37	1	1	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Minh Ph­îng(3)	1	99999	10	0																						36	120	39	6									1688	2328	1728	1888	2088	2168	539	566	3		1670	2	9
Minh Ph­îng Quang Phôc Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle31.spr	34	1	2	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Minh Ph­îng(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	6									1688	2288	1728	1768	2088	2168	539	566	4		2788	2	9
Minh Ph­îng Quang Phôc Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash31.spr	33	2	1	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Minh Ph­îng(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	6									1688	2368	1728	1808	2088	2168	539	566	5	1420	2208	2	9
Minh Ph­îng Quang Phôc C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth33.spr	22	2	3	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Minh Ph­îng(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	6									1688	2408	1728	1848	2604	2660	539	566	6	1442	2788	2	9
Minh Ph­îng Quang Phôc Tr­îng	0	0	2	\spr\item\equip\closeweapon\obj-spear26.spr	11	1	4	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Minh Ph­îng(7)	2	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	120	39	6									2706	2248	1968	2008	2088	2660	539	566	7		1670	2	9
Minh Ph­îng Quang Phôc Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes35.spr	26	2	2	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Minh Ph­îng(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	6									1688	2328	1728	1888	1928	2168	539	566	8	1438	2208	2	9
Minh Ph­îng Quang Phôc Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist31.spr	36	1	2	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Minh Ph­îng(9)	3	99999	10	0																						36	120	39	6									1688	2288	1728	1768	2088	2168	539	566	9	1432	2208	2	9
Minh Ph­îng Quang Phôc H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring30.spr	37	1	1	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Minh Ph­îng(10)	4	99999	10	0																						36	120	39	6									1688	2368	1728	1808	2088	2168	539	566	10		1670	2	9
Minh Ph­îng Dôc NhËt H¹ng Khuyªn	0	4	1	\spr\item\equip\nick\obj-neck30.spr	36	2	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Minh Ph­îng(1)	0	99999	10	0																						36	120	39	7									1688	2408	1728	1848	2128	2168	540	567	1	1454	2208	2	9
Minh Ph­îng Dôc NhËt Kh«i	0	7	2	\spr\item\equip\cap\obj-ma-cap32.spr	28	2	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Minh Ph­îng(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	7									1688	2248	1728	1768	2088	2815	540	567	2		2208	2	9
Minh Ph­îng Dôc NhËt Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring30.spr	37	1	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Minh Ph­îng(3)	1	99999	10	0																						36	120	39	7									1688	2328	1728	1888	2088	2168	540	567	3		1670	2	9
Minh Ph­îng Dôc NhËt Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle31.spr	34	1	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Minh Ph­îng(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	7									1688	2288	1728	1768	2088	2168	540	567	4	1466	2788	2	9
Minh Ph­îng Dôc NhËt Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash31.spr	33	2	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Minh Ph­îng(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	7									1688	2368	1728	1808	2088	2168	540	567	5	1448	2208	2	9
Minh Ph­îng Dôc NhËt Gi¸p Y	0	2	16	\spr\item\equip\armor\obj-ma-cloth32.spr	23	2	3	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Minh Ph­îng(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	7									1688	2408	1728	1848	2604	2815	540	567	6	1470	2788	2	9
Minh Ph­îng Dôc NhËt Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-staff26.spr	12	1	4	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Minh Ph­îng(7)	2	99999	10	0	28	18	18	29	158	158	167	-30	-30	31	99	99										36	120	39	7									2707	2248	1968	2008	2088	2815	540	567	7		1670	2	9
Minh Ph­îng Dôc NhËt Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes35.spr	26	2	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Minh Ph­îng(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	7									1688	2328	1728	1888	1928	2168	540	567	8		2208	2	9
Minh Ph­îng Dôc NhËt Béi	0	9	1	\spr\item\equip\waist\obj-waist31.spr	36	1	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Minh Ph­îng(9)	3	99999	10	0																						36	120	39	7									1688	2288	1728	1768	2088	2168	540	567	9	1460	2208	2	9
Minh Ph­îng Dôc NhËt H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring30.spr	37	1	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Minh Ph­îng(10)	4	99999	10	0																						36	120	39	7									1688	2368	1728	1808	2088	2168	540	567	10		1670	2	9
Minh Ph­îng SÝ §Þa H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck30.spr	36	2	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Minh Ph­îng(1)	1	99999	10	0																						36	120	39	7									1688	2408	1728	1848	2128	2168	541	568	1	1482	2208	2	9
Minh Ph­îng SÝ §Þa Qu¸n MiÖn	0	7	2	\spr\item\equip\cap\obj-ma-cap32.spr	28	2	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Minh Ph­îng(2)	3	99999	10	0	30	360	360	31	85	85																36	120	39	7									1688	2248	1728	1768	2088	2835	541	568	2		2208	2	9
Minh Ph­îng SÝ §Þa Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring30.spr	37	1	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Minh Ph­îng(3)	4	99999	10	0																						36	120	39	7									1688	2328	1728	1888	2088	2168	541	568	3		1670	2	9
Minh Ph­îng SÝ §Þa Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle31.spr	34	1	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Minh Ph­îng(4)	0	99999	10	0	30	135	135	31	80	80																36	120	39	7									1688	2288	1728	1768	2088	2168	541	568	4		2788	2	9
Minh Ph­îng SÝ §Þa Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash31.spr	33	2	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Minh Ph­îng(5)	2	99999	10	0	30	160	160	31	80	80																36	120	39	7									1688	2368	1728	1808	2088	2168	541	568	5	1476	2208	2	9
Minh Ph­îng SÝ §Þa Gi¸p Y	0	2	16	\spr\item\equip\armor\obj-ma-cloth32.spr	23	2	3	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Minh Ph­îng(6)	1	99999	10	0	30	720	720	31	90	90																36	120	39	7									1688	2408	1728	1848	2604	2835	541	568	6	1498	2788	2	9
Minh Ph­îng SÝ §Þa §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade31.spr	10	1	4	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Minh Ph­îng(7)	3	99999	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										36	120	39	7									2725	2248	2488	1768	2088	2835	541	568	7		1670	2	9
Minh Ph­îng SÝ §Þa Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes35.spr	26	2	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Minh Ph­îng(8)	4	99999	10	0	30	160	160	31	80	80																36	120	39	7									1688	2328	1728	1888	1928	2168	541	568	8	1494	2208	2	9
Minh Ph­îng SÝ §Þa Béi	0	9	1	\spr\item\equip\waist\obj-waist31.spr	34	1	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Minh Ph­îng(9)	0	99999	10	0																						36	120	39	7									1688	2288	1728	1768	2088	2168	541	568	9	1488	2208	2	9
Minh Ph­îng SÝ §Þa H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring30.spr	37	1	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Minh Ph­îng(10)	2	99999	10	0																						36	120	39	7									1688	2368	1728	1808	2088	2168	541	568	10		1670	2	9
Minh Ph­îng Kh«ng Minh Phï	0	4	1	\spr\item\equip\nick\obj-neck31.spr	36	2	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Minh Ph­îng(1)	3	99999	10	0																						36	120	39	8									1688	2408	1728	1848	2128	2168	542	569	1	1510	2208	2	9
Minh Ph­îng Kh«ng Minh Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap34.spr	28	2	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Minh Ph­îng(2)	4	99999	10	0	30	360	360	31	85	85																36	120	39	8									1688	2248	1728	1768	2088	2680	542	569	2		2208	2	9
Minh Ph­îng Kh«ng Minh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring31.spr	37	1	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Minh Ph­îng(3)	0	99999	10	0																						36	120	39	8									1688	2328	1728	1888	2088	2168	542	569	3		1670	2	9
Minh Ph­îng Kh«ng Minh Tô	0	8	1	\Spr\item\equip\bangle\obj-bangle32.spr	34	1	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Minh Ph­îng(4)	2	99999	10	0	30	135	135	31	80	80																36	120	39	8									1688	2288	1728	1768	2088	2168	542	569	4		2788	2	9
Minh Ph­îng Kh«ng Minh Ph¸p §¸i	0	6	1	\spr\item\equip\sash\obj-sash32.spr	33	2	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Minh Ph­îng(5)	1	99999	10	0	30	160	160	31	80	80																36	120	39	8									1688	2368	1728	1808	2088	2168	542	569	5	1504	2208	2	9
Minh Ph­îng Kh«ng Minh §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth34.spr	24	2	3	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Minh Ph­îng(6)	3	99999	10	0	30	720	720	31	90	90																36	120	39	8									1688	2408	1728	1848	2604	2680	542	569	6	1526	2788	2	9
Minh Ph­îng Kh«ng Minh KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword28.spr	9	1	3	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Minh Ph­îng(7)	4	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	8									2725	2248	2528	1768	2088	2680	542	569	7		1670	2	9
Minh Ph­îng Kh«ng Minh Lý	0	5	0	\spr\item\equip\boots\obj-shoes36.spr	26	2	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Minh Ph­îng(8)	0	99999	10	0	30	160	160	31	80	80																36	120	39	8									1688	2328	1728	1888	1928	2168	542	569	8	1522	2208	2	9
Minh Ph­îng Kh«ng Minh Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist32.spr	36	1	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Minh Ph­îng(9)	2	99999	10	0																						36	120	39	8									1688	2288	1728	1768	2088	2168	542	569	9	1516	2208	2	9
Minh Ph­îng Kh«ng Minh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring31.spr	37	1	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Minh Ph­îng(10)	1	99999	10	0																						36	120	39	8									1688	2368	1728	1808	2088	2168	542	569	10		1670	2	9
Minh Ph­îng Bång Lai Phï	0	4	1	\spr\item\equip\nick\obj-neck31.spr	36	2	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Minh Ph­îng(1)	0	99999	10	0																						36	120	39	8									1688	2408	1728	1848	2128	2168	543	570	1	1538	2208	2	9
Minh Ph­îng Bång Lai Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap34.spr	28	2	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Minh Ph­îng(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	8									1688	2248	1728	1768	2088	2680	543	570	2		2208	2	9
Minh Ph­îng Bång Lai Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring31.spr	37	1	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Minh Ph­îng(3)	1	99999	10	0																						36	120	39	8									1688	2328	1728	1888	2088	2168	543	570	3		1670	2	9
Minh Ph­îng Bång Lai Tô	0	8	1	\Spr\item\equip\bangle\obj-bangle32.spr	34	1	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Minh Ph­îng(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	8									1688	2288	1728	1768	2088	2168	543	570	4	1550	2788	2	9
Minh Ph­îng Bång Lai Ph¸p §¸i	0	6	0	\spr\item\equip\sash\obj-sash32.spr	32	2	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Minh Ph­îng(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	8									1688	2368	1728	1808	2088	2168	543	570	5	1532	2208	2	9
Minh Ph­îng Bång Lai §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth34.spr	24	2	3	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Minh Ph­îng(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	8									1688	2408	1728	1848	2604	2680	543	570	6	1554	2788	2	9
Minh Ph­îng Bång Lai KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword30.spr	9	1	3	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Minh Ph­îng(7)	2	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	8									2706	2248	1968	2008	2088	2680	543	570	7		1670	2	9
Minh Ph­îng Bång Lai Lý	0	5	0	\spr\item\equip\boots\obj-shoes36.spr	26	2	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Minh Ph­îng(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	8									1688	2328	1728	1888	1928	2168	543	570	8		2208	2	9
Minh Ph­îng Bång Lai Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist32.spr	36	1	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Minh Ph­îng(9)	3	99999	10	0																						36	120	39	8									1688	2288	1728	1768	2088	2168	543	570	9	1544	2208	2	9
Minh Ph­îng Bång Lai H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring31.spr	37	1	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Minh Ph­îng(10)	4	99999	10	0																						36	120	39	8									1688	2368	1728	1808	2088	2168	543	570	10		1670	2	9
Minh Ph­îng Cöu Thiªn H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck31.spr	36	2	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(1)	0	99999	10	0																						36	120	39	9									1688	2408	1728	1848	2128	2168	544	571	1	1566	2208	2	9
Minh Ph­îng Cöu Thiªn §¹o Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap35.spr	28	2	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	9									1688	2248	1728	1768	2088	2680	544	571	2		2208	2	9
Minh Ph­îng Cöu Thiªn Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring31.spr	37	1	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(3)	1	99999	10	0																						36	120	39	9									1688	2328	1728	1888	2088	2168	544	571	3		1670	2	9
Minh Ph­îng Cöu Thiªn Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle32.spr	34	1	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	9									1688	2288	1728	1768	2088	2168	544	571	4	1578	2788	2	9
Minh Ph­îng Cöu Thiªn Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash32.spr	33	2	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	9									1688	2368	1728	1808	2088	2168	544	571	5	1560	2208	2	9
Minh Ph­îng Cöu Thiªn §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth35.spr	24	2	3	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	9									1688	2408	1728	1848	2604	2680	544	571	6	1582	2788	2	9
Minh Ph­îng Cöu Thiªn Hµn ThiÕt	0	0	1	\spr\item\equip\closeweapon\obj-blade32.spr	10	1	4	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	9									2707	2248	1968	2008	2088	2680	544	571	7		1670	2	9
Minh Ph­îng Cöu Thiªn Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes37.spr	26	2	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	9									1688	2328	1728	1888	1928	2168	544	571	8		2208	2	9
